"CAUTH23CD","CAUTH23NM","tph_Sat_Midday_tph_2006_2023_change_pct","tph_Sat_Midday_tph_2023","tph_Sat_Midday_tph_avg_2006_08","tph_Sat_Night_tph_2006_2023_change_pct","tph_Sat_Night_tph_2023","tph_Sat_Night_tph_avg_2006_08","tph_Sun_Midday_tph_2006_2023_change_pct","tph_Sun_Midday_tph_2023","tph_Sun_Midday_tph_avg_2006_08","tph_weekday_Morning_Peak_tph_2006_2023_change_pct","tph_weekday_Morning_Peak_tph_2023","tph_weekday_Morning_Peak_tph_avg_2006_08"
"E47000001","Greater Manchester",-0.476502885214517,193.235,369.123333333333,-0.22147791500942,23.24375,29.85625,-0.289835729370547,116.35,163.835333333333,-0.482014137858186,193.291,373.158833333333
"E47000002","South Yorkshire",-0.495065789473684,176.525,349.6,-0.457686017988553,20.7265625,38.21875,-0.489094634937125,74.5875,145.990833333333,-0.575637745212065,160.769375,378.849375
"E47000003","West Yorkshire",-0.45787765082845,214.31,395.316666666667,-0.53975617650232,17.775,38.6208333333333,-0.337522506158004,110.628,166.991333333333,-0.359627095881177,248.8995,388.679
"E47000004","Liverpool City Region",-0.506738675619131,168.966666666667,342.55,-0.361891467457686,19.046875,29.8489583333333,-0.288891720630655,102.308333333333,143.871666666667,-0.518111679742855,165.161666666667,342.738472222222
"E47000006","Tees Valley",-0.776839820441464,35.23,157.868666666667,-0.679144385026738,3.525,10.98625,-0.650782704641059,16.88,48.3366666666667,-0.72251173175999,44.5115,160.408583333333
"E47000007","West Midlands",-0.43272922153435,311.5,549.120476190476,-0.0637667097035197,44.0803571428571,47.0826636904762,-0.215791370352293,163.728571428571,208.781904761905,-0.468373112459994,301.546428571429,567.214404761905
"E47000008","Cambridgeshire and Peterborough",-0.589526874605227,75.8166666666667,184.705555555556,-0.124313186813187,6.640625,7.58333333333333,-0.395291661053483,36.575,60.4837037037037,-0.611199309908141,70.6133333333333,181.618333333333
"E47000009","West of England",-0.523705447209146,188.866666666667,396.533333333333,0.139304716385607,35.09375,30.8027777777778,-0.408888948910827,97.2666666666667,164.548888888889,-0.605177335398049,176.350833333333,446.658333333333
"E47000010","North East",-0.990481611334057,2.4875,261.33625,-0.743495449112807,5.8125,22.6604166666667,-0.98613439163873,1.875,135.226666666667,-0.836832033910847,71.661875,439.190833333333
"E47000011","North of Tyne",-0.98135373625604,5.91666666666667,317.311111111111,-0.723145400593472,6.47916666666667,23.4027777777778,-0.96612253440067,4.31666666666667,127.42,-0.853629806745488,65.8066666666667,449.590625
,"Greater London",-0.124478824334126,454.945454545455,519.628156565657,-0.00961245704841039,185.677083333333,187.479219276094,-0.0402309437679686,343.651515151515,358.056464646465,-0.0347317166938441,553.135265151515,573.037853535354
