"RGN20CD","RGN20NM","tph_Sat_Midday_tph_2006_2023_change_pct","tph_Sat_Midday_tph_2023","tph_Sat_Midday_tph_avg_2006_08","tph_Sat_Night_tph_2006_2023_change_pct","tph_Sat_Night_tph_2023","tph_Sat_Night_tph_avg_2006_08","tph_Sun_Midday_tph_2006_2023_change_pct","tph_Sun_Midday_tph_2023","tph_Sun_Midday_tph_avg_2006_08","tph_weekday_Morning_Peak_tph_2006_2023_change_pct","tph_weekday_Morning_Peak_tph_2023","tph_weekday_Morning_Peak_tph_avg_2006_08"
"E12000001","North East",-0.92684690482442,16.9875,232.218472222222,-0.720492396813903,5.02604166666667,17.9817708333333,-0.90998841052496,8.7375,97.0708333333333,-0.81916548373553,58.8854166666667,325.631510416667
"E12000002","North West",-0.508946803879417,125.045714285714,254.648,-0.320704687892735,13.0839285714286,19.2610317460317,-0.329382459258837,69.9357142857143,104.285542857143,-0.512032973813189,126.445071428571,259.126261904762
"E12000003","Yorkshire and The Humber",-0.537239021410344,156.556666666667,338.31,-0.522112463823579,13.875,29.0340277777778,-0.455051960704717,71.596,131.381333333333,-0.521988731400265,163.2925,341.608055555556
"E12000004","East Midlands",-0.656300682149877,86.6857142857143,252.21380952381,-0.621055015164661,9.86160714285714,26.0238492063492,-0.630428166671667,32.8457142857143,88.8750476190476,-0.641285789698914,92.1965,257.019369047619
"E12000005","West Midlands",-0.521297627996506,110.17,230.143,-0.252440337652412,12.3291666666667,16.4925520833333,-0.360729490226747,48.5016666666667,75.8703333333333,-0.541556142015531,109.246916666667,238.299444444444
"E12000006","East of England",-0.533359595390683,63.7037777777778,136.515777777778,-0.486796290617467,6.12083333333333,11.926712962963,-0.370724041386613,27.7035555555556,44.0244938271605,-0.539725058029667,67.3323888888889,146.287322530864
"E12000007","London",-0.124478824334126,454.945454545455,519.628156565657,-0.00961245704841039,185.677083333333,187.479219276094,-0.0402309437679686,343.651515151515,358.056464646465,-0.0347317166938441,553.135265151515,573.037853535354
"E12000008","South East",-0.506366798989886,63.33125,128.296171875,-0.287613109927696,8.0341796875,11.27783203125,-0.300640827972051,34.61015625,49.4883854166667,-0.532990797808041,67.449296875,144.428196614583
"E12000009","South West",-0.492993121473953,89.1307692307692,175.797948717949,-0.10465743917955,11.1646634615385,12.4697115384615,-0.367507839107017,37.0615384615385,58.596043956044,-0.539479669058542,90.3434615384615,196.176923076923
"S99999999","Scotland",-0.732275651968161,83.8296875,313.119401041667,-0.594705320761402,10.7236328125,26.4588541666667,-0.698438814431423,41.840625,138.74671875,-0.734005264864664,86.57984375,325.494576822917
"W99999999","Wales",-0.642676738174086,63.7181818181818,178.320833333333,-0.491465289549415,4.88636363636364,9.60871212121212,-0.454911859300574,20.2863636363636,37.2166666666667,-0.602997122959629,66.0339772727273,166.331231060606
